Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:13:55,AB_1,5.01,13.1,6.35,8.3,9.57,8.47
2026-04-20 00:13:55,AB_1,7.01,12.9,6.4,8.26,9.94,8.5
2026-04-20 00:13:56,AB_1,7.15,13.0,6.4,8.25,10.23,8.45
2026-04-20 00:13:56,AB_1,7.28,12.77,6.35,8.23,10.19,8.47
2026-04-20 00:13:56,AB_1,7.35,12.66,6.55,8.24,10.62,8.48
2026-04-20 00:13:57,AB_1,7.25,12.77,6.47,8.22,10.64,8.56
2026-04-20 00:13:57,AB_1,7.41,12.73,6.36,8.25,10.69,8.48
2026-04-20 00:13:58,AB_1,7.16,12.76,6.36,8.27,10.75,8.44
2026-04-20 00:13:58,AB_1,7.3,12.8,6.37,8.21,10.85,8.47
2026-04-20 00:13:58,AB_1,7.24,12.9,6.46,8.22,10.9,8.53
2026-04-20 00:13:59,AB_1,7.56,12.8,6.36,8.28,11.01,8.53
2026-04-20 00:13:59,AB_1,7.39,12.64,6.74,8.31,10.85,8.56
2026-04-20 00:14:00,AB_1,7.38,12.74,6.49,8.23,10.96,8.55
2026-04-20 00:14:00,AB_1,7.27,12.68,6.4,8.41,11.11,8.48
2026-04-20 00:14:00,AB_1,7.25,12.61,6.56,8.58,11.39,8.59
2026-04-20 00:14:01,AB_1,7.26,12.59,6.35,7.99,10.66,8.4
2026-04-20 00:14:01,AB_1,7.28,13.1,6.48,8.34,11.26,8.56
2026-04-20 00:14:02,AB_1,7.22,12.37,6.47,8.88,11.49,8.56
2026-04-20 00:14:02,AB_1,7.17,12.49,6.41,8.39,11.25,8.57
2026-04-20 00:14:02,AB_1,7.53,13.1,6.29,8.09,11.14,8.35
2026-04-20 00:14:03,AB_1,7.29,12.58,6.44,8.73,11.62,8.61
2026-04-20 00:14:03,AB_1,7.35,12.57,6.34,8.14,10.98,8.12
2026-04-20 00:14:04,AB_1,7.07,13.0,6.41,8.17,10.86,8.71
2026-04-20 00:14:04,AB_1,7.49,12.51,6.36,8.49,11.33,8.38
2026-04-20 00:14:04,AB_1,7.27,12.66,6.45,8.6,11.41,8.66
2026-04-20 00:14:05,AB_1,7.46,12.8,6.45,8.09,10.99,8.17
2026-04-20 00:14:05,AB_1,7.12,12.65,6.38,8.37,11.21,8.62
2026-04-20 00:14:06,AB_1,7.24,12.65,6.47,8.22,10.98,8.38
2026-04-20 00:14:06,AB_1,5.91,12.68,6.63,8.57,11.42,8.54
2026-04-20 00:14:06,AB_1,7.38,12.26,6.48,8.66,11.35,8.49
2026-04-20 00:14:07,AB_1,7.32,12.8,6.25,7.81,10.85,8.43
2026-04-20 00:14:07,AB_1,7.46,13.0,6.34,8.44,11.33,8.61
