Timestamp,Label,V_AD,V_AB,V_BC,V_CD,V_AC,V_BD
2026-04-12 19:44:09,AB_1,10.16,7.49,11.51,6.89,10.16,11.47
2026-04-12 19:44:10,AB_1,9.49,7.47,11.44,7.23,10.63,11.4
2026-04-12 19:44:10,AB_1,9.54,7.48,11.38,7.6,11.01,11.42
2026-04-12 19:44:10,AB_1,9.51,7.46,11.43,7.87,11.21,11.42
2026-04-12 19:44:11,AB_1,9.53,7.47,11.39,8.1,11.41,11.39
2026-04-12 19:44:11,AB_1,9.52,7.46,11.42,8.19,11.51,11.44
2026-04-12 19:44:11,AB_1,9.53,7.45,11.43,8.28,11.77,11.4
2026-04-12 19:44:12,AB_1,9.53,7.46,11.43,8.03,11.7,11.44
2026-04-12 19:44:12,AB_1,9.59,7.45,11.47,8.03,11.75,11.45
2026-04-12 19:44:13,AB_1,9.61,7.45,11.48,7.94,11.93,11.48
2026-04-12 19:44:13,AB_1,9.63,7.45,11.5,7.98,11.91,11.49
2026-04-12 19:44:13,AB_1,9.66,7.46,11.48,7.92,11.94,11.43
2026-04-12 19:44:14,AB_1,9.59,7.46,11.5,8.23,12.23,11.48
2026-04-12 19:44:14,AB_1,9.63,7.32,11.23,7.9,12.36,11.39
2026-04-12 19:44:14,AB_1,9.86,7.42,11.32,7.84,12.25,11.29
2026-04-12 19:44:15,AB_1,9.73,7.52,11.16,7.9,11.89,10.97
2026-04-12 19:44:15,AB_1,9.39,7.51,11.13,8.11,12.14,11.06
2026-04-12 19:44:15,AB_1,9.33,7.5,10.99,7.98,12.04,10.98
2026-04-12 19:44:16,AB_1,9.5,7.54,11.52,8.29,12.37,11.53
2026-04-12 19:44:16,AB_1,9.64,7.53,11.62,8.24,12.54,11.41
2026-04-12 19:44:17,AB_1,9.68,7.47,11.57,8.22,12.62,11.61
2026-04-12 19:44:17,AB_1,9.75,7.41,11.6,8.5,12.6,11.49
2026-04-12 19:44:17,AB_1,9.67,7.48,11.62,8.18,12.63,11.58
2026-04-12 19:44:18,AB_1,9.77,7.42,11.71,8.42,12.9,11.58
2026-04-12 19:44:18,AB_1,9.75,7.39,11.56,8.64,12.64,11.58
2026-04-12 19:44:18,AB_1,9.86,7.34,11.77,8.62,12.9,11.74
2026-04-12 19:44:19,AB_1,9.84,7.4,11.69,8.77,12.9,11.6
2026-04-12 19:44:19,AB_1,9.79,7.38,11.68,8.39,12.67,11.73
2026-04-12 19:44:19,AB_1,9.91,7.36,11.67,8.67,12.73,11.52
2026-04-12 19:44:20,AB_1,9.71,7.43,11.57,8.57,12.71,11.51
2026-04-12 19:44:20,AB_1,9.71,7.4,11.64,8.42,12.62,11.59
2026-04-12 19:44:20,AB_1,9.76,7.44,11.67,8.3,12.9,11.7
2026-04-12 19:44:21,AB_1,9.94,7.37,11.86,8.3,13.0,11.89
2026-04-12 19:44:21,AB_1,9.88,7.47,11.77,8.68,12.67,11.55
2026-04-12 19:44:22,AB_1,9.68,7.43,11.82,8.45,12.9,11.93
2026-04-12 19:44:22,AB_1,9.84,7.34,11.8,8.3,12.43,11.69
2026-04-12 19:44:22,AB_1,9.81,7.48,11.71,8.45,12.9,11.81
2026-04-12 19:44:23,AB_1,10.04,7.27,12.01,8.78,12.9,11.87
2026-04-12 19:44:23,AB_1,9.91,7.35,11.74,8.8,13.2,11.72
2026-04-12 19:44:23,AB_1,9.97,7.36,11.82,8.48,12.8,11.81
2026-04-12 19:44:24,AB_1,9.98,7.36,11.9,8.65,13.2,11.61
2026-04-12 19:44:24,AB_1,9.79,7.39,11.91,8.45,12.8,11.94
2026-04-12 19:44:24,AB_1,10.1,7.24,12.0,8.64,13.4,11.78
2026-04-12 19:44:25,AB_1,10.03,7.41,11.84,8.81,13.1,11.81
2026-04-12 19:44:25,AB_1,9.95,7.24,11.84,8.63,13.2,11.84
2026-04-12 19:44:25,AB_1,10.08,7.29,11.8,8.5,13.0,11.84
2026-04-12 19:44:26,AB_1,10.08,7.29,11.95,8.7,13.3,11.83
2026-04-12 19:44:26,AB_1,9.97,7.3,11.8,8.91,13.1,11.74
2026-04-12 19:44:27,AB_1,9.98,7.31,11.85,8.82,13.2,11.84
2026-04-12 19:44:27,AB_1,9.96,7.3,11.83,9.02,13.1,11.76
2026-04-12 19:44:27,AB_1,9.97,7.29,11.86,8.64,13.2,11.86
2026-04-12 19:44:28,AB_1,10.05,7.29,11.87,8.93,13.3,11.79
2026-04-12 19:44:28,AB_1,10.0,7.3,11.81,8.84,13.4,11.78
2026-04-12 19:44:28,AB_1,9.94,7.3,11.87,8.68,13.2,11.81
2026-04-12 19:44:29,AB_1,10.06,7.32,11.81,8.76,13.3,11.76
2026-04-12 19:44:29,AB_1,10.0,7.3,11.85,8.62,13.1,11.81
2026-04-12 19:44:29,AB_1,10.06,7.28,11.82,8.72,13.3,11.77
2026-04-12 19:44:30,AB_1,10.03,7.32,11.8,8.92,13.1,11.76
2026-04-12 19:44:30,AB_1,9.93,7.31,11.85,8.56,13.2,11.8
2026-04-12 19:44:30,AB_1,10.08,7.31,11.8,8.79,13.2,11.78
2026-04-12 19:44:31,AB_1,9.98,7.29,11.86,8.53,13.2,11.8
2026-04-12 19:44:31,AB_1,10.1,7.31,11.88,8.42,13.1,11.85
2026-04-12 19:44:32,AB_1,10.1,7.3,11.86,8.74,13.4,11.77
2026-04-12 19:44:32,AB_1,9.98,7.31,11.81,8.89,13.2,11.76
2026-04-12 19:44:32,AB_1,9.97,7.31,11.83,9.01,13.2,11.77
2026-04-12 19:44:33,AB_1,9.96,7.32,11.79,9.0,13.4,11.75
2026-04-12 19:44:33,AB_1,9.96,7.3,11.86,8.65,13.3,11.81
2026-04-12 19:44:33,AB_1,10.05,7.31,11.82,8.97,13.2,11.76
2026-04-12 19:44:34,AB_1,9.99,7.3,11.85,8.6,13.2,11.83
2026-04-12 19:44:34,AB_1,10.05,7.31,11.82,8.93,13.2,11.76
2026-04-12 19:44:34,AB_1,9.98,7.31,11.86,8.48,13.2,11.83
2026-04-12 19:44:35,AB_1,10.05,7.31,11.81,8.9,13.3,11.77
2026-04-12 19:44:35,AB_1,9.99,7.32,11.81,8.97,13.2,11.77
2026-04-12 19:44:35,AB_1,9.95,7.31,11.84,8.67,13.3,11.81
2026-04-12 19:44:36,AB_1,10.08,7.32,11.89,8.63,13.3,11.85
2026-04-12 19:44:36,AB_1,10.07,7.3,11.83,8.7,13.3,11.77
2026-04-12 19:44:37,AB_1,10.01,7.31,11.87,8.47,13.1,11.82
2026-04-12 19:44:37,AB_1,10.09,7.29,11.9,8.4,13.2,11.85
2026-04-12 19:44:37,AB_1,10.11,7.31,11.84,8.78,13.2,11.78
2026-04-12 19:44:38,AB_1,10.0,7.31,11.85,8.88,13.3,11.77
2026-04-12 19:44:38,AB_1,9.98,7.32,11.81,9.0,13.2,11.76
2026-04-12 19:44:38,AB_1,9.97,7.29,11.85,8.68,13.2,11.81
2026-04-12 19:44:39,AB_1,10.05,7.31,11.82,8.88,13.2,11.78
2026-04-12 19:44:39,AB_1,9.96,7.31,11.89,8.59,13.3,11.85
2026-04-12 19:44:39,AB_1,10.03,7.28,11.95,8.44,13.1,11.84
2026-04-12 19:44:40,AB_1,10.03,7.3,11.84,8.75,13.1,11.79
2026-04-12 19:44:40,AB_1,9.99,7.31,11.85,9.08,13.4,11.81
2026-04-12 19:44:40,AB_1,9.96,7.28,11.88,8.39,13.3,11.83
2026-04-12 19:44:41,AB_1,10.07,7.3,11.87,8.79,13.2,11.81
2026-04-12 19:44:41,AB_1,9.98,7.3,11.85,9.05,13.0,11.78
2026-04-12 19:44:41,AB_1,9.97,7.31,11.82,9.14,13.4,11.79
2026-04-12 19:44:42,AB_1,9.96,7.3,11.83,9.03,13.3,11.77
2026-04-12 19:44:42,AB_1,9.98,7.29,11.86,8.56,13.3,11.84
2026-04-12 19:44:43,AB_1,10.05,7.3,11.87,8.9,13.3,11.8
2026-04-12 19:44:43,AB_1,9.98,7.3,11.83,9.19,13.3,11.76
2026-04-12 19:44:43,AB_1,9.94,7.32,11.81,8.92,13.4,11.79
2026-04-12 19:44:44,AB_1,9.96,7.3,11.82,9.2,13.4,11.76
2026-04-12 19:44:44,AB_1,9.94,7.29,11.83,8.84,13.5,12.59
2026-04-12 19:44:44,AB_1,11.28,6.73,12.76,8.6,15.3,13.0
2026-04-12 19:44:45,AB_1,12.23,6.54,13.0,8.71,15.4,13.0
2026-04-12 19:44:45,AB_1,11.81,6.51,13.1,8.97,15.6,13.2
2026-04-12 19:44:45,AB_1,11.87,6.82,12.67,8.97,13.7,11.78
2026-04-12 19:44:46,AB_1,9.89,7.15,11.29,9.05,12.8,11.48
2026-04-12 19:44:46,AB_1,9.61,7.34,11.46,8.98,12.9,11.48
2026-04-12 19:44:46,AB_1,9.44,7.55,11.52,9.2,13.0,11.54
2026-04-12 19:44:47,AB_1,9.62,7.52,11.74,9.14,13.0,11.45
2026-04-12 19:44:47,AB_1,9.35,7.53,11.53,9.11,12.65,11.57
2026-04-12 19:44:48,AB_1,9.68,7.5,11.68,8.81,12.9,11.53
2026-04-12 19:44:48,AB_1,9.56,7.54,11.64,9.11,13.0,11.62
2026-04-12 19:44:48,AB_1,9.72,7.4,11.63,9.24,13.1,11.43
2026-04-12 19:44:49,AB_1,9.57,7.4,11.45,8.85,12.9,11.48
2026-04-12 19:44:49,AB_1,9.77,7.42,11.82,8.67,13.5,12.05
2026-04-12 19:44:49,AB_1,9.86,7.58,11.77,8.6,13.1,11.63
2026-04-12 19:44:50,AB_1,10.16,7.38,12.25,9.09,13.3,11.92
2026-04-12 19:44:50,AB_1,9.87,7.18,11.89,8.65,13.0,11.7
2026-04-12 19:44:50,AB_1,9.97,7.16,11.63,8.45,12.8,11.83
2026-04-12 19:44:51,AB_1,9.89,7.42,11.87,8.7,12.9,11.41
2026-04-12 19:44:51,AB_1,9.57,7.51,11.6,8.94,13.1,11.5
2026-04-12 19:44:51,AB_1,9.79,7.31,11.73,9.13,13.2,11.89
2026-04-12 19:44:52,AB_1,10.17,7.28,11.99,8.75,13.5,11.9
2026-04-12 19:44:52,AB_1,9.95,7.43,12.09,9.1,13.0,12.12
2026-04-12 19:44:53,AB_1,9.99,7.17,12.01,8.63,13.4,12.02
2026-04-12 19:44:53,AB_1,10.19,7.31,12.03,8.52,13.1,11.95
2026-04-12 19:44:53,AB_1,9.91,7.4,12.12,8.49,12.9,12.0
2026-04-12 19:44:54,AB_1,10.11,7.33,12.12,8.53,13.3,12.14
2026-04-12 19:44:54,AB_1,10.09,7.18,12.26,8.42,13.4,12.14
2026-04-12 19:44:54,AB_1,10.41,7.43,11.93,8.58,13.4,11.79
2026-04-12 19:44:55,AB_1,9.89,7.37,11.79,9.06,12.55,11.61
2026-04-12 19:44:55,AB_1,9.67,7.36,11.64,8.64,13.1,11.64
2026-04-12 19:44:55,AB_1,9.97,7.28,11.95,8.58,13.2,11.89
2026-04-12 19:44:56,AB_1,10.03,7.35,11.83,8.78,13.4,11.71
2026-04-12 19:44:56,AB_1,9.99,7.32,11.84,9.07,13.2,11.82
2026-04-12 19:44:57,AB_1,9.94,7.3,11.81,8.99,13.4,11.73
2026-04-12 19:44:57,AB_1,9.98,7.35,11.79,9.2,13.3,11.76
2026-04-12 19:44:57,AB_1,9.92,7.29,11.87,8.73,13.4,11.81
2026-04-12 19:44:58,AB_1,10.03,7.32,11.82,8.98,13.3,11.76
2026-04-12 19:44:58,AB_1,9.96,7.31,11.87,8.63,13.2,11.84
2026-04-12 19:44:58,AB_1,10.06,7.32,11.83,8.97,13.1,11.76
2026-04-12 19:44:59,AB_1,9.97,7.32,11.82,9.12,13.4,11.78
2026-04-12 19:44:59,AB_1,9.96,7.29,11.85,8.69,13.3,11.79
2026-04-12 19:44:59,AB_1,10.06,7.3,11.89,8.55,13.1,11.83
2026-04-12 19:45:00,AB_1,10.07,7.29,11.91,8.55,13.2,11.84
2026-04-12 19:45:00,AB_1,10.09,7.3,11.89,8.44,13.1,11.86
2026-04-12 19:45:00,AB_1,10.1,7.29,11.93,8.52,13.3,11.87
