Timestamp,Label,V_AD,V_AB,V_BC,V_CD,V_AC,V_BD
2026-04-12 21:35:02,AB_1,14.6,6.67,15.3,8.16,15.0,14.5
2026-04-12 21:35:02,AB_1,14.0,6.79,14.8,8.49,15.4,14.5
2026-04-12 21:35:03,AB_1,14.0,6.84,14.8,8.96,15.6,14.5
2026-04-12 21:35:03,AB_1,14.0,6.87,14.7,9.17,15.8,14.5
2026-04-12 21:35:03,AB_1,14.0,6.86,14.7,8.71,15.9,14.5
2026-04-12 21:35:04,AB_1,14.0,6.84,14.7,8.99,16.0,14.5
2026-04-12 21:35:04,AB_1,14.0,6.84,14.7,9.16,16.1,14.5
2026-04-12 21:35:04,AB_1,14.0,6.76,14.6,8.89,16.2,14.4
2026-04-12 21:35:05,AB_1,14.0,6.85,14.6,9.15,16.2,14.5
2026-04-12 21:35:05,AB_1,14.0,6.85,14.6,9.29,16.3,14.5
2026-04-12 21:35:06,AB_1,14.0,6.77,14.6,8.93,16.2,14.5
2026-04-12 21:35:06,AB_1,14.0,6.77,14.5,8.68,16.4,14.5
2026-04-12 21:35:06,AB_1,14.0,6.64,14.5,8.61,16.5,14.5
2026-04-12 21:35:07,AB_1,14.1,6.78,14.5,8.91,16.6,14.5
2026-04-12 21:35:07,AB_1,14.0,6.82,14.5,9.19,16.5,14.5
2026-04-12 21:35:07,AB_1,14.0,6.82,14.5,9.18,16.5,14.5
2026-04-12 21:35:08,AB_1,14.0,6.7,14.5,8.87,16.6,14.5
2026-04-12 21:35:08,AB_1,14.1,6.64,14.5,8.72,16.7,14.5
2026-04-12 21:35:08,AB_1,14.1,6.69,14.5,8.68,16.9,14.5
2026-04-12 21:35:09,AB_1,14.1,6.76,14.5,8.98,16.8,14.5
2026-04-12 21:35:09,AB_1,14.0,6.83,14.5,9.34,16.8,14.5
2026-04-12 21:35:09,AB_1,14.0,6.86,14.5,9.35,16.9,14.5
2026-04-12 21:35:10,AB_1,14.0,6.81,14.5,9.55,17.0,14.5
2026-04-12 21:35:10,AB_1,14.0,6.64,14.5,9.08,17.0,14.5
2026-04-12 21:35:11,AB_1,14.1,6.66,14.4,8.77,17.1,14.5
2026-04-12 21:35:11,AB_1,14.1,6.78,14.4,9.19,17.0,14.5
2026-04-12 21:35:11,AB_1,14.0,6.8,14.4,9.07,16.9,14.5
2026-04-12 21:35:12,AB_1,14.1,6.71,14.5,8.97,17.1,14.5
2026-04-12 21:35:12,AB_1,14.1,6.8,14.4,9.13,17.0,14.4
2026-04-12 21:35:12,AB_1,14.0,6.83,14.4,9.43,16.8,14.4
2026-04-12 21:35:13,AB_1,14.0,6.84,14.4,9.4,16.9,14.4
2026-04-12 21:35:13,AB_1,14.0,6.76,14.4,9.03,17.0,14.4
2026-04-12 21:35:13,AB_1,14.1,6.69,14.4,8.84,17.1,14.5
2026-04-12 21:35:14,AB_1,14.0,6.8,14.3,8.9,16.8,14.4
2026-04-12 21:35:14,AB_1,14.0,6.61,14.3,8.91,17.1,14.4
2026-04-12 21:35:14,AB_1,14.0,6.76,14.3,9.11,17.0,14.4
2026-04-12 21:35:15,AB_1,14.0,6.64,14.4,9.0,16.9,14.4
2026-04-12 21:35:15,AB_1,14.0,6.68,14.4,8.79,17.0,14.5
2026-04-12 21:35:16,AB_1,14.1,6.81,14.4,9.15,16.9,14.5
2026-04-12 21:35:16,AB_1,14.0,6.83,14.5,8.86,17.0,14.6
2026-04-12 21:35:16,AB_1,14.2,6.68,14.5,8.58,17.3,14.6
2026-04-12 21:35:17,AB_1,14.2,6.74,14.5,8.73,17.0,14.7
2026-04-12 21:35:17,AB_1,14.2,6.75,14.5,8.5,17.0,14.7
2026-04-12 21:35:17,AB_1,14.2,6.7,14.5,8.84,17.2,14.6
2026-04-12 21:35:18,AB_1,14.1,6.75,14.5,9.17,17.3,14.5
2026-04-12 21:35:18,AB_1,14.1,6.77,14.5,9.19,17.1,14.5
2026-04-12 21:35:18,AB_1,14.1,6.63,14.5,8.95,17.1,14.6
2026-04-12 21:35:19,AB_1,14.1,6.68,14.5,8.66,17.0,14.6
2026-04-12 21:35:19,AB_1,14.2,6.61,14.5,8.61,17.2,14.7
2026-04-12 21:35:20,AB_1,14.2,6.48,14.5,8.58,17.1,14.7
2026-04-12 21:35:20,AB_1,14.2,6.7,14.5,8.95,17.2,14.5
2026-04-12 21:35:20,AB_1,14.1,6.76,14.5,9.09,17.3,14.5
2026-04-12 21:35:21,AB_1,14.1,6.77,14.5,9.37,17.3,14.5
2026-04-12 21:35:21,AB_1,14.1,6.61,14.5,8.94,17.2,14.6
2026-04-12 21:35:21,AB_1,14.2,6.7,14.4,9.09,17.2,14.5
2026-04-12 21:35:22,AB_1,14.1,6.77,14.5,9.29,17.3,14.5
2026-04-12 21:35:22,AB_1,14.1,6.78,14.5,9.45,17.3,14.5
2026-04-12 21:35:22,AB_1,14.1,6.77,14.5,9.39,17.2,14.6
2026-04-12 21:35:23,AB_1,14.1,6.77,14.5,8.99,17.0,14.6
2026-04-12 21:35:23,AB_1,14.2,6.74,14.4,9.16,17.3,14.5
2026-04-12 21:35:23,AB_1,14.1,6.79,14.5,9.29,17.3,14.5
2026-04-12 21:35:24,AB_1,14.1,6.65,14.5,8.78,17.2,14.6
2026-04-12 21:35:24,AB_1,14.2,6.75,14.5,9.06,17.1,14.5
2026-04-12 21:35:25,AB_1,14.1,6.72,14.4,8.83,17.1,14.6
2026-04-12 21:35:25,AB_1,14.2,6.76,14.4,9.01,17.3,14.5
2026-04-12 21:35:25,AB_1,14.1,6.77,14.4,9.24,17.3,14.5
2026-04-12 21:35:26,AB_1,14.1,6.82,14.5,9.56,17.3,14.5
2026-04-12 21:35:26,AB_1,14.1,6.74,14.5,8.94,17.1,14.6
2026-04-12 21:35:26,AB_1,14.2,6.72,14.4,9.34,17.3,14.5
2026-04-12 21:35:27,AB_1,14.1,6.78,14.5,9.38,17.4,14.5
2026-04-12 21:35:27,AB_1,14.1,6.81,14.5,9.55,17.3,14.5
2026-04-12 21:35:27,AB_1,14.1,6.82,14.5,9.48,17.4,14.5
2026-04-12 21:35:28,AB_1,14.1,6.5,14.4,9.18,17.1,14.6
2026-04-12 21:35:28,AB_1,14.2,6.74,14.5,9.23,17.4,14.5
2026-04-12 21:35:28,AB_1,14.1,6.77,14.5,9.43,17.2,14.5
2026-04-12 21:35:29,AB_1,14.1,6.82,14.5,9.29,17.0,14.6
2026-04-12 21:35:29,AB_1,14.2,6.81,14.4,9.33,17.3,14.5
2026-04-12 21:35:29,AB_1,14.1,6.6,14.4,9.18,17.2,14.5
2026-04-12 21:35:30,AB_1,14.1,6.72,14.4,8.76,17.1,14.5
2026-04-12 21:35:30,AB_1,14.1,6.71,14.4,9.26,17.1,14.5
2026-04-12 21:35:31,AB_1,14.1,6.66,14.4,8.88,17.2,14.5
2026-04-12 21:35:31,AB_1,14.1,6.7,14.4,9.27,17.2,14.5
2026-04-12 21:35:31,AB_1,14.0,6.5,14.4,8.9,17.3,14.6
2026-04-12 21:35:32,AB_1,14.2,6.73,14.4,9.28,17.2,14.5
2026-04-12 21:35:32,AB_1,14.1,6.64,14.4,8.9,17.3,14.6
2026-04-12 21:35:32,AB_1,14.2,6.74,14.4,8.69,17.2,14.6
2026-04-12 21:35:33,AB_1,14.2,6.67,14.4,8.62,17.1,14.6
2026-04-12 21:35:33,AB_1,14.2,6.67,14.5,8.57,17.4,14.6
2026-04-12 21:35:33,AB_1,14.2,6.62,14.5,8.92,17.1,14.5
2026-04-12 21:35:34,AB_1,14.1,6.74,14.4,9.06,17.3,14.5
2026-04-12 21:35:34,AB_1,14.1,6.78,14.5,9.2,17.3,14.5
2026-04-12 21:35:35,AB_1,14.1,6.79,14.4,9.34,17.2,14.5
2026-04-12 21:35:35,AB_1,14.1,6.79,14.5,9.31,17.3,14.5
2026-04-12 21:35:35,AB_1,14.1,6.82,14.5,9.37,17.2,14.5
2026-04-12 21:35:36,AB_1,14.1,6.77,14.5,9.3,17.3,14.5
2026-04-12 21:35:36,AB_1,14.1,6.72,14.4,9.19,17.2,14.5
2026-04-12 21:35:36,AB_1,14.1,6.79,14.4,9.37,17.3,14.5
2026-04-12 21:35:37,AB_1,14.0,6.84,14.4,9.56,17.2,14.5
2026-04-12 21:35:37,AB_1,14.0,6.81,14.4,9.58,17.3,14.4
2026-04-12 21:35:37,AB_1,14.0,6.69,14.4,9.1,17.1,14.5
2026-04-12 21:35:38,AB_1,14.1,6.63,14.4,9.02,17.2,14.5
2026-04-12 21:35:38,AB_1,14.0,6.77,14.4,9.25,17.1,14.5
2026-04-12 21:35:38,AB_1,14.0,6.8,14.4,9.4,17.3,14.5
2026-04-12 21:35:39,AB_1,14.0,6.81,14.4,9.48,17.2,14.4
2026-04-12 21:35:39,AB_1,14.0,6.62,14.4,9.07,17.3,14.6
2026-04-12 21:35:39,AB_1,14.1,6.78,14.4,9.25,17.3,14.5
2026-04-12 21:35:40,AB_1,14.0,6.79,14.4,9.45,17.2,14.5
2026-04-12 21:35:40,AB_1,14.0,6.56,14.4,9.02,17.0,14.5
2026-04-12 21:35:41,AB_1,14.0,6.76,14.3,9.3,17.2,14.4
2026-04-12 21:35:41,AB_1,13.9,6.81,14.4,9.09,17.2,14.4
2026-04-12 21:35:41,AB_1,13.9,6.69,14.3,8.88,17.1,14.5
2026-04-12 21:35:42,AB_1,14.0,6.76,14.4,9.2,17.2,14.4
2026-04-12 21:35:42,AB_1,13.9,6.81,14.4,9.4,17.1,14.4
2026-04-12 21:35:42,AB_1,13.9,6.56,14.4,9.03,17.2,14.6
2026-04-12 21:35:43,AB_1,14.1,6.74,14.5,8.82,17.2,14.6
2026-04-12 21:35:43,AB_1,14.2,6.67,14.5,9.08,17.3,14.5
2026-04-12 21:35:43,AB_1,14.1,6.78,14.5,9.04,17.2,14.5
2026-04-12 21:35:44,AB_1,14.1,6.8,14.5,9.35,17.3,14.5
2026-04-12 21:35:44,AB_1,14.1,6.65,14.5,9.09,17.3,14.6
2026-04-12 21:35:44,AB_1,14.1,6.72,14.5,9.05,17.4,14.5
2026-04-12 21:35:45,AB_1,14.1,6.78,14.5,9.45,17.2,14.5
2026-04-12 21:35:45,AB_1,14.1,6.8,14.5,9.38,17.4,14.5
2026-04-12 21:35:46,AB_1,14.0,6.71,14.5,8.98,17.4,14.6
2026-04-12 21:35:46,AB_1,14.2,6.71,14.5,9.13,17.2,14.6
2026-04-12 21:35:46,AB_1,14.1,6.77,14.5,9.37,17.1,14.5
2026-04-12 21:35:47,AB_1,14.1,6.72,14.5,8.99,17.4,14.6
2026-04-12 21:35:47,AB_1,14.2,6.74,14.5,9.25,17.4,14.5
2026-04-12 21:35:47,AB_1,14.1,6.58,14.5,8.9,17.3,14.6
2026-04-12 21:35:48,AB_1,14.2,6.72,14.5,9.21,17.5,14.5
2026-04-12 21:35:48,AB_1,14.1,6.77,14.5,9.29,17.4,14.5
2026-04-12 21:35:48,AB_1,14.1,6.77,14.4,9.34,17.1,14.5
2026-04-12 21:35:49,AB_1,14.1,6.74,14.4,9.46,17.5,14.5
2026-04-12 21:35:49,AB_1,14.1,6.78,14.5,9.56,17.4,14.5
2026-04-12 21:35:49,AB_1,14.1,6.6,14.5,8.96,17.1,14.6
2026-04-12 21:35:50,AB_1,14.2,6.7,14.4,9.23,17.4,14.5
2026-04-12 21:35:50,AB_1,14.1,6.78,14.5,9.36,17.5,14.5
2026-04-12 21:35:50,AB_1,14.1,6.39,14.4,9.2,17.5,14.5
2026-04-12 21:35:51,AB_1,14.1,6.71,14.5,9.36,17.4,14.5
2026-04-12 21:35:51,AB_1,14.1,6.75,14.5,9.52,17.4,14.5
2026-04-12 21:35:52,AB_1,14.1,6.74,14.5,8.76,17.2,14.6
2026-04-12 21:35:52,AB_1,14.2,6.7,14.5,9.16,17.3,14.5
2026-04-12 21:35:52,AB_1,14.1,6.68,14.4,8.95,17.3,14.6
2026-04-12 21:35:53,AB_1,14.1,6.7,14.4,8.65,17.1,14.6
2026-04-12 21:35:53,AB_1,14.1,6.61,14.4,8.43,17.1,14.6
2026-04-12 21:35:53,AB_1,14.2,6.6,14.5,8.75,17.3,14.6
2026-04-12 21:35:54,AB_1,14.2,6.6,14.5,8.62,17.1,14.6
2026-04-12 21:35:54,AB_1,14.1,6.56,14.4,8.65,17.2,14.6
2026-04-12 21:35:54,AB_1,14.1,6.68,14.4,8.63,17.3,14.7
2026-04-12 21:35:55,AB_1,14.2,6.64,14.5,8.77,17.4,14.5
2026-04-12 21:35:55,AB_1,14.0,6.56,14.4,8.79,17.3,14.6
2026-04-12 21:35:56,AB_1,14.1,6.46,14.5,8.6,17.3,14.7
2026-04-12 21:35:56,AB_1,14.2,6.68,14.5,8.79,17.1,14.6
2026-04-12 21:35:56,AB_1,14.1,6.7,14.5,9.14,17.2,14.6
2026-04-12 21:35:57,AB_1,14.1,6.74,14.5,9.21,17.4,14.6
2026-04-12 21:35:57,AB_1,14.1,6.76,14.5,9.4,17.4,14.5
2026-04-12 21:35:57,AB_1,14.0,6.78,14.5,9.39,17.3,14.5
2026-04-12 21:35:58,AB_1,14.1,6.61,14.4,9.01,17.3,14.6
2026-04-12 21:35:58,AB_1,14.2,6.7,14.5,9.0,17.3,14.5
2026-04-12 21:35:58,AB_1,14.1,6.73,14.5,9.33,17.4,14.5
2026-04-12 21:35:59,AB_1,14.1,6.74,14.5,9.31,17.4,14.5
2026-04-12 21:35:59,AB_1,14.1,6.55,14.5,8.9,17.3,14.6
2026-04-12 21:35:59,AB_1,14.2,6.68,14.5,9.01,17.2,14.6
2026-04-12 21:36:00,AB_1,14.2,6.67,14.5,8.98,17.4,14.6
2026-04-12 21:36:00,AB_1,14.2,6.66,14.5,8.65,17.4,14.7
2026-04-12 21:36:01,AB_1,14.2,6.64,14.5,8.94,17.2,14.6
2026-04-12 21:36:01,AB_1,14.1,6.54,14.5,8.84,17.4,14.7
2026-04-12 21:36:01,AB_1,14.2,6.68,14.5,9.18,17.2,14.6
2026-04-12 21:36:02,AB_1,14.1,6.76,14.5,8.9,17.1,14.7
