Timestamp,Frequency (Hz),V_AD,V_AB,V_BC,V_CD,V_AC,V_BD
2026-04-12 18:02:57,1000.00,13.50,6.24,15.10,8.51,16.40,13.90
2026-04-12 18:02:57,1000.00,11.76,6.17,14.20,8.49,16.50,13.90
2026-04-12 18:02:58,1000.00,13.10,6.15,14.10,8.61,16.50,14.00
2026-04-12 18:02:58,1000.00,13.10,6.10,14.00,8.79,16.50,14.00
2026-04-12 18:02:58,1000.00,13.10,6.04,14.00,8.59,16.70,14.00
2026-04-12 18:02:59,1000.00,13.20,6.03,14.00,8.48,16.40,14.00
2026-04-12 18:02:59,1000.00,13.20,5.98,14.00,8.29,16.50,14.00
2026-04-12 18:02:59,1000.00,13.20,6.02,14.00,8.37,16.40,14.00
2026-04-12 18:03:00,1000.00,13.20,6.02,14.00,8.25,16.30,14.00
2026-04-12 18:03:00,1000.00,13.20,5.99,13.90,8.21,16.70,14.10
2026-04-12 18:03:01,1000.00,13.30,5.95,13.90,7.79,16.20,14.00
2026-04-12 18:03:01,1000.00,13.20,5.97,14.00,8.14,16.40,14.00
2026-04-12 18:03:01,1000.00,13.20,5.97,13.90,8.04,16.00,14.00
2026-04-12 18:03:02,1000.00,13.20,5.82,13.90,8.25,16.40,14.00
2026-04-12 18:03:02,1000.00,13.30,5.96,13.90,7.84,16.30,14.00
2026-04-12 18:03:02,1000.00,13.20,5.92,14.00,7.93,16.50,14.10
2026-04-12 18:03:03,1000.00,13.30,5.83,13.90,8.34,16.30,14.00
2026-04-12 18:03:03,1000.00,13.20,5.98,13.90,7.79,16.30,14.00
2026-04-12 18:03:04,1000.00,13.20,5.95,13.90,8.23,16.40,14.00
2026-04-12 18:03:04,1000.00,13.20,6.16,14.00,8.54,16.50,14.00
2026-04-12 18:03:04,1000.00,13.20,6.02,14.00,8.29,16.40,14.00
2026-04-12 18:03:05,1000.00,13.20,6.13,14.00,8.51,16.50,14.00
2026-04-12 18:03:05,1000.00,13.10,6.03,14.00,8.42,16.30,14.00
2026-04-12 18:03:05,1000.00,13.20,5.94,14.00,8.29,16.60,14.10
2026-04-12 18:03:06,1000.00,13.20,6.03,14.00,8.32,16.70,14.10
2026-04-12 18:03:06,1000.00,13.20,6.06,14.00,8.34,16.80,14.10
2026-04-12 18:03:07,1000.00,13.20,5.99,14.00,8.43,16.60,14.10
2026-04-12 18:03:07,1000.00,13.20,5.97,14.00,8.60,16.80,14.00
2026-04-12 18:03:07,1000.00,13.20,6.07,14.00,8.61,16.70,14.10
2026-04-12 18:03:08,1000.00,13.20,6.03,14.00,8.83,16.90,14.00
2026-04-12 18:03:08,1000.00,13.10,5.96,14.00,8.30,16.40,14.00
2026-04-12 18:03:08,1000.00,13.20,6.11,14.00,8.53,16.90,14.00
2026-04-12 18:03:09,1000.00,13.20,5.97,14.00,8.36,16.30,14.00
2026-04-12 18:03:09,1000.00,13.20,5.85,14.00,8.42,16.40,14.00
2026-04-12 18:03:09,1000.00,13.20,5.93,14.00,7.96,16.40,14.00
2026-04-12 18:03:10,1000.00,13.20,5.97,14.00,8.18,16.40,14.10
2026-04-12 18:03:10,1000.00,13.20,5.96,14.00,7.95,16.50,14.10
2026-04-12 18:03:11,1000.00,13.30,5.80,14.00,7.84,16.80,14.10
2026-04-12 18:03:11,1000.00,13.30,5.93,14.00,7.80,16.30,14.10
2026-04-12 18:03:11,1000.00,13.20,6.07,14.00,8.37,16.80,14.10
2026-04-12 18:03:12,1000.00,13.20,5.96,14.00,7.92,16.30,14.10
2026-04-12 18:03:12,1000.00,13.20,6.07,14.00,8.36,16.50,14.10
2026-04-12 18:03:12,1000.00,13.20,6.02,14.00,8.46,16.70,14.10
2026-04-12 18:03:13,1000.00,13.20,5.97,14.00,8.69,16.70,14.10
2026-04-12 18:03:13,1000.00,13.20,6.11,14.00,8.25,16.80,14.10
2026-04-12 18:03:13,1000.00,13.20,6.10,14.00,8.91,16.70,14.00
2026-04-12 18:03:14,1000.00,13.10,5.98,14.00,8.17,16.80,14.10
2026-04-12 18:03:14,1000.00,13.30,6.03,14.00,8.40,17.10,14.10
2026-04-12 18:03:15,1000.00,13.30,6.03,14.00,8.77,16.80,14.10
2026-04-12 18:03:15,1000.00,13.20,6.00,14.00,8.39,16.80,14.10
2026-04-12 18:03:15,1000.00,13.30,6.06,14.00,8.78,16.90,14.10
2026-04-12 18:03:16,1000.00,13.20,5.96,14.00,8.16,16.50,14.10
2026-04-12 18:03:16,1000.00,13.20,5.83,14.00,8.21,16.40,14.10
2026-04-12 18:03:16,1000.00,13.20,5.94,14.00,8.23,16.30,14.10
2026-04-12 18:03:17,1000.00,13.20,6.07,14.00,8.39,16.80,14.10
2026-04-12 18:03:17,1000.00,13.20,6.02,14.00,8.36,17.00,14.10
2026-04-12 18:03:17,1000.00,13.20,5.80,14.00,8.02,16.40,14.10
2026-04-12 18:03:18,1000.00,13.20,6.00,14.00,8.23,16.60,14.10
2026-04-12 18:03:18,1000.00,13.20,6.07,14.00,8.20,16.70,14.10
2026-04-12 18:03:19,1000.00,13.20,5.94,14.00,8.61,17.00,14.10
2026-04-12 18:03:19,1000.00,13.20,6.03,14.00,8.47,17.00,14.10
2026-04-12 18:03:19,1000.00,13.30,5.97,14.00,8.81,16.80,14.10
2026-04-12 18:03:20,1000.00,13.20,6.09,14.00,8.59,16.50,14.10
2026-04-12 18:03:20,1000.00,13.20,5.93,14.00,8.22,16.70,14.20
2026-04-12 18:03:20,1000.00,13.20,5.99,14.00,8.43,16.70,14.10
2026-04-12 18:03:21,1000.00,13.20,6.02,14.00,8.69,16.90,14.10
2026-04-12 18:03:21,1000.00,13.20,6.11,14.00,8.60,16.90,14.10
2026-04-12 18:03:21,1000.00,13.30,5.90,14.00,8.28,16.70,14.10
2026-04-12 18:03:22,1000.00,13.30,5.97,14.00,8.28,16.70,14.10
2026-04-12 18:03:22,1000.00,13.30,5.92,14.00,8.11,16.80,14.10
2026-04-12 18:03:23,1000.00,13.20,6.04,14.00,8.39,16.80,14.10
2026-04-12 18:03:23,1000.00,13.30,5.93,14.00,8.52,16.90,14.10
2026-04-12 18:03:23,1000.00,13.20,5.97,14.00,8.15,16.60,14.10
2026-04-12 18:03:24,1000.00,13.30,5.91,14.00,8.24,16.90,14.20
2026-04-12 18:03:24,1000.00,13.30,5.89,14.00,7.85,16.60,14.10
2026-04-12 18:03:24,1000.00,13.20,5.92,14.00,8.02,16.30,14.10
2026-04-12 18:03:25,1000.00,13.20,5.93,14.00,7.88,16.80,14.20
2026-04-12 18:03:25,1000.00,13.30,6.00,14.00,8.19,17.00,14.20
2026-04-12 18:03:25,1000.00,13.30,5.76,14.00,7.91,16.70,14.20
2026-04-12 18:03:26,1000.00,13.30,5.92,14.00,8.46,16.40,14.10
2026-04-12 18:03:26,1000.00,13.20,6.02,14.00,8.12,16.80,14.20
2026-04-12 18:03:27,1000.00,13.30,5.87,14.00,7.86,16.50,14.10
2026-04-12 18:03:27,1000.00,13.20,5.86,14.00,7.87,16.40,14.10
2026-04-12 18:03:27,1000.00,13.30,5.88,14.00,8.02,16.50,14.20
2026-04-12 18:03:28,1000.00,13.30,5.90,14.00,7.86,16.70,14.20
2026-04-12 18:03:28,1000.00,13.30,5.91,14.00,8.50,16.80,14.10
2026-04-12 18:03:28,1000.00,13.20,5.91,14.00,8.16,16.80,14.20
2026-04-12 18:03:29,1000.00,13.30,5.90,14.00,7.77,16.80,14.20
2026-04-12 18:03:29,1000.00,13.30,6.02,14.00,8.11,16.30,14.10
2026-04-12 18:03:29,1000.00,13.20,5.97,14.00,8.61,16.40,14.10
2026-04-12 18:03:30,1000.00,13.20,5.94,14.00,8.14,16.40,14.10
2026-04-12 18:03:30,1000.00,13.20,5.95,14.00,7.93,16.60,14.20
2026-04-12 18:03:31,1000.00,13.30,6.00,14.00,8.22,16.60,14.10
2026-04-12 18:03:31,1000.00,13.20,6.02,14.00,8.41,16.70,14.20
2026-04-12 18:03:31,1000.00,13.20,5.93,14.00,8.60,16.50,14.10
2026-04-12 18:03:32,1000.00,13.20,5.95,14.00,8.42,16.70,14.20
2026-04-12 18:03:32,1000.00,13.30,5.97,14.00,8.61,16.50,14.10
2026-04-12 18:03:32,1000.00,13.20,5.91,14.00,8.31,16.20,14.10
2026-04-12 18:03:33,1000.00,13.20,5.93,14.00,8.18,16.70,14.10
2026-04-12 18:03:33,1000.00,13.20,5.88,14.00,8.24,16.70,14.20
2026-04-12 18:03:34,1000.00,13.30,5.95,14.00,8.46,16.40,14.10
2026-04-12 18:03:34,1000.00,13.20,5.93,14.00,8.11,16.80,14.20
2026-04-12 18:03:34,1000.00,13.30,5.91,14.00,8.24,16.80,14.20
2026-04-12 18:03:35,1000.00,13.30,5.87,14.00,7.82,16.40,14.20
2026-04-12 18:03:35,1000.00,13.20,5.96,14.00,8.58,16.70,14.10
2026-04-12 18:03:35,1000.00,13.20,5.92,14.00,8.30,16.50,14.10
2026-04-12 18:03:36,1000.00,13.20,6.04,14.00,8.37,16.80,14.20
2026-04-12 18:03:36,1000.00,13.20,5.96,14.00,8.74,16.00,14.10
2026-04-12 18:03:36,1000.00,13.20,5.93,14.00,8.32,16.40,14.10
2026-04-12 18:03:37,1000.00,13.20,6.06,14.00,8.42,16.80,14.20
2026-04-12 18:03:37,1000.00,13.20,5.90,14.00,8.01,16.30,14.10
2026-04-12 18:03:38,1000.00,13.20,5.99,14.00,8.72,16.90,14.10
2026-04-12 18:03:38,1000.00,13.20,6.01,14.00,8.39,16.90,14.10
2026-04-12 18:03:38,1000.00,13.20,5.74,14.00,8.15,16.50,14.10
2026-04-12 18:03:39,1000.00,13.30,5.93,14.00,7.70,16.70,14.10
2026-04-12 18:03:39,1000.00,13.20,5.78,14.00,8.36,17.00,14.20
2026-04-12 18:03:39,1000.00,13.30,5.85,14.00,8.09,16.80,14.20
2026-04-12 18:03:40,1000.00,13.30,5.95,14.00,8.45,16.50,14.10
2026-04-12 18:03:40,1000.00,13.20,5.92,14.00,8.14,16.40,14.10
2026-04-12 18:03:40,1000.00,13.20,6.04,14.00,8.74,17.00,14.10
2026-04-12 18:03:41,1000.00,13.20,5.90,14.00,8.46,17.00,14.20
2026-04-12 18:03:41,1000.00,13.30,5.97,14.00,8.34,16.80,14.20
2026-04-12 18:03:42,1000.00,13.30,5.94,14.00,8.63,16.50,14.10
2026-04-12 18:03:42,1000.00,13.20,6.06,14.00,8.83,16.70,14.10
2026-04-12 18:03:42,1000.00,13.20,5.93,14.00,8.57,16.80,14.20
2026-04-12 18:03:43,1000.00,13.30,5.91,14.00,8.05,16.20,14.10
2026-04-12 18:03:43,1000.00,13.30,5.94,14.00,8.19,17.00,14.20
2026-04-12 18:03:43,1000.00,13.30,5.89,14.00,8.00,16.40,14.20
2026-04-12 18:03:44,1000.00,13.30,5.90,14.00,8.03,16.40,14.20
2026-04-12 18:03:44,1000.00,13.30,5.88,14.00,7.78,16.50,14.20
2026-04-12 18:03:44,1000.00,13.30,6.02,14.00,8.24,16.50,14.10
2026-04-12 18:03:45,1000.00,13.20,5.86,14.00,8.19,16.70,14.20
2026-04-12 18:03:45,1000.00,13.30,5.94,14.00,8.52,16.70,14.10
2026-04-12 18:03:46,1000.00,13.20,5.94,14.00,8.08,16.30,14.10
2026-04-12 18:03:46,1000.00,13.20,5.94,14.00,8.24,16.60,14.20
2026-04-12 18:03:46,1000.00,13.20,5.89,14.00,8.43,17.00,14.10
2026-04-12 18:03:47,1000.00,13.20,6.06,14.00,8.62,16.80,14.10
2026-04-12 18:03:47,1000.00,13.20,6.02,14.00,8.48,17.00,14.20
2026-04-12 18:03:47,1000.00,13.30,5.98,14.00,8.83,16.60,14.10
2026-04-12 18:03:48,1000.00,13.20,5.93,14.00,8.49,16.90,14.20
2026-04-12 18:03:48,1000.00,13.30,6.02,14.00,8.33,16.60,14.10
2026-04-12 18:03:48,1000.00,13.20,6.01,14.00,8.12,16.40,14.10
2026-04-12 18:03:49,1000.00,13.20,5.92,14.00,7.99,16.70,14.20
2026-04-12 18:03:49,1000.00,13.30,5.82,14.00,8.19,16.40,14.20
2026-04-12 18:03:50,1000.00,13.20,5.84,14.00,8.07,16.60,14.20
2026-04-12 18:03:50,1000.00,13.30,5.90,14.00,8.35,16.90,14.10
2026-04-12 18:03:50,1000.00,13.20,5.92,14.00,8.16,16.40,14.10
2026-04-12 18:03:51,1000.00,13.20,5.92,14.00,7.60,16.60,14.20
2026-04-12 18:03:51,1000.00,13.30,5.88,14.00,8.12,16.40,14.20
2026-04-12 18:03:51,1000.00,13.30,5.89,14.00,8.03,16.40,14.20
2026-04-12 18:03:52,1000.00,13.20,5.87,14.00,7.93,16.80,14.20
2026-04-12 18:03:52,1000.00,13.30,5.96,14.00,8.51,16.50,14.10
2026-04-12 18:03:52,1000.00,13.20,5.91,14.00,7.98,16.90,14.20
2026-04-12 18:03:53,1000.00,13.30,5.87,14.00,7.74,16.50,14.20
2026-04-12 18:03:53,1000.00,13.30,5.88,14.00,8.16,16.30,14.20
2026-04-12 18:03:54,1000.00,13.20,6.02,14.00,8.62,17.00,14.10
2026-04-12 18:03:54,1000.00,13.20,5.93,14.00,8.07,16.80,14.20
2026-04-12 18:03:54,1000.00,13.30,5.87,14.00,7.87,16.90,14.20
2026-04-12 18:03:55,1000.00,13.40,5.89,14.00,8.44,16.80,14.10
2026-04-12 18:03:55,1000.00,13.20,6.03,14.00,8.37,16.90,14.20
2026-04-12 18:03:55,1000.00,13.30,5.97,14.00,8.28,16.40,14.10
2026-04-12 18:03:56,1000.00,13.20,6.06,14.00,8.47,16.80,14.20
2026-04-12 18:03:56,1000.00,13.30,5.93,14.00,8.26,16.20,14.10
2026-04-12 18:03:57,1000.00,13.20,5.92,14.00,8.10,16.50,14.10
