Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:44:03,AB_1,4.61,11.97,6.31,8.67,9.48,7.72
2026-04-20 00:44:03,AB_1,6.97,11.99,6.34,8.66,9.89,7.78
2026-04-20 00:44:04,AB_1,6.96,12.01,6.35,8.72,10.09,7.78
2026-04-20 00:44:04,AB_1,6.85,12.0,6.43,8.64,10.2,7.85
2026-04-20 00:44:04,AB_1,6.84,12.01,6.38,8.65,10.38,7.83
2026-04-20 00:44:05,AB_1,6.95,11.98,6.69,8.63,10.31,7.8
2026-04-20 00:44:05,AB_1,7.03,11.99,6.46,8.73,10.54,7.83
2026-04-20 00:44:06,AB_1,7.0,12.22,6.73,8.69,10.63,7.82
2026-04-20 00:44:06,AB_1,7.05,12.01,6.31,8.73,10.8,7.84
2026-04-20 00:44:06,AB_1,7.06,12.07,6.35,8.64,11.13,7.82
2026-04-20 00:44:07,AB_1,6.79,12.01,6.75,8.63,11.05,7.82
2026-04-20 00:44:07,AB_1,6.98,12.18,6.4,8.65,11.05,7.83
2026-04-20 00:44:08,AB_1,6.92,12.24,6.41,8.74,11.26,7.81
2026-04-20 00:44:08,AB_1,6.99,12.11,6.68,8.63,11.26,7.78
2026-04-20 00:44:08,AB_1,7.09,12.26,6.46,8.64,11.3,7.77
2026-04-20 00:44:09,AB_1,6.95,12.17,6.3,8.62,11.34,7.76
2026-04-20 00:44:09,AB_1,6.95,12.21,6.29,8.67,10.74,7.81
2026-04-20 00:44:10,AB_1,7.15,12.1,6.38,8.64,11.35,7.84
2026-04-20 00:44:10,AB_1,6.88,12.23,6.43,8.69,11.45,7.82
2026-04-20 00:44:10,AB_1,6.95,12.2,6.34,8.67,11.25,7.77
2026-04-20 00:44:11,AB_1,6.96,12.24,6.36,8.67,10.94,7.76
2026-04-20 00:44:11,AB_1,7.13,12.22,6.38,8.62,11.21,7.82
2026-04-20 00:44:11,AB_1,7.02,12.23,6.38,8.67,10.96,7.81
2026-04-20 00:44:12,AB_1,6.96,12.1,6.52,8.67,11.22,7.82
2026-04-20 00:44:12,AB_1,7.08,12.02,6.51,8.72,11.49,7.81
2026-04-20 00:44:13,AB_1,6.88,12.07,6.55,8.67,11.34,7.77
2026-04-20 00:44:13,AB_1,7.14,12.12,6.36,8.62,11.29,7.74
