Timestamp,Label,V_AD,V_AB,V_BC,V_CD,V_AC,V_BD
2026-04-12 21:11:29,AB_1,13.9,6.79,14.8,7.75,14.3,14.1
2026-04-12 21:11:29,AB_1,13.4,6.89,14.4,8.41,14.7,14.1
2026-04-12 21:11:29,AB_1,13.4,6.95,14.2,8.55,14.9,14.1
2026-04-12 21:11:30,AB_1,13.4,6.95,14.3,9.02,15.1,14.1
2026-04-12 21:11:30,AB_1,13.4,6.98,14.2,9.01,15.2,14.1
2026-04-12 21:11:30,AB_1,13.4,6.88,14.2,8.73,15.3,14.1
2026-04-12 21:11:31,AB_1,13.4,6.9,14.1,8.61,15.4,14.0
2026-04-12 21:11:31,AB_1,13.3,6.91,14.1,8.48,15.4,14.1
2026-04-12 21:11:31,AB_1,13.4,6.9,14.1,8.52,15.4,14.1
2026-04-12 21:11:32,AB_1,13.4,6.9,14.1,8.85,15.6,14.1
2026-04-12 21:11:32,AB_1,13.3,6.95,14.1,9.06,15.8,14.1
2026-04-12 21:11:32,AB_1,13.3,6.52,14.1,8.96,15.8,14.1
2026-04-12 21:11:33,AB_1,13.4,6.95,14.1,9.04,15.9,14.1
2026-04-12 21:11:33,AB_1,13.4,6.99,14.1,9.24,16.2,14.1
2026-04-12 21:11:34,AB_1,13.5,6.78,14.1,8.79,16.0,14.1
2026-04-12 21:11:34,AB_1,13.5,6.88,14.0,8.47,16.0,14.1
2026-04-12 21:11:34,AB_1,13.6,6.83,14.1,8.46,16.3,14.2
2026-04-12 21:11:35,AB_1,13.7,6.79,14.1,8.48,16.4,14.1
2026-04-12 21:11:35,AB_1,13.6,6.89,14.1,8.46,16.1,14.1
2026-04-12 21:11:35,AB_1,13.7,6.87,14.1,8.91,16.3,14.1
2026-04-12 21:11:36,AB_1,13.6,6.85,14.0,9.12,16.4,14.1
2026-04-12 21:11:36,AB_1,13.5,6.9,14.0,9.24,16.5,14.0
2026-04-12 21:11:36,AB_1,13.5,6.93,14.0,9.24,16.5,14.0
2026-04-12 21:11:37,AB_1,13.4,6.89,14.0,9.03,16.4,14.1
2026-04-12 21:11:37,AB_1,13.4,6.9,14.0,8.61,16.2,14.1
2026-04-12 21:11:38,AB_1,13.4,6.78,14.0,8.79,16.3,14.1
2026-04-12 21:11:38,AB_1,13.4,6.94,14.0,8.94,16.3,14.0
2026-04-12 21:11:38,AB_1,13.4,6.91,14.0,8.93,16.3,14.1
2026-04-12 21:11:39,AB_1,13.4,6.91,14.0,8.93,16.3,14.1
2026-04-12 21:11:39,AB_1,13.4,6.94,14.0,8.95,16.4,14.1
2026-04-12 21:11:39,AB_1,13.4,6.91,14.0,8.63,16.1,14.1
2026-04-12 21:11:40,AB_1,13.3,6.96,14.0,8.97,16.2,14.0
2026-04-12 21:11:40,AB_1,13.3,6.92,14.0,8.66,16.1,14.1
2026-04-12 21:11:40,AB_1,13.3,6.96,14.0,8.91,16.1,14.0
2026-04-12 21:11:41,AB_1,13.1,7.01,14.0,9.31,15.8,14.1
2026-04-12 21:11:41,AB_1,13.1,7.05,14.1,9.39,16.2,14.1
2026-04-12 21:11:41,AB_1,13.2,6.97,14.1,9.16,16.0,14.1
2026-04-12 21:11:42,AB_1,13.2,7.02,14.0,8.83,16.1,14.2
2026-04-12 21:11:42,AB_1,13.1,7.01,14.1,8.85,16.2,14.2
2026-04-12 21:11:43,AB_1,13.1,7.02,14.1,9.22,16.1,14.1
2026-04-12 21:11:43,AB_1,13.0,7.06,14.1,9.53,16.1,14.1
2026-04-12 21:11:43,AB_1,13.0,6.99,14.1,9.2,16.0,14.1
2026-04-12 21:11:44,AB_1,13.0,7.05,14.0,8.91,15.8,14.1
2026-04-12 21:11:44,AB_1,13.0,7.09,13.9,9.32,15.9,13.9
2026-04-12 21:11:44,AB_1,12.8,7.12,13.9,9.45,15.9,14.0
2026-04-12 21:11:45,AB_1,12.9,7.07,14.0,9.36,16.2,14.1
2026-04-12 21:11:45,AB_1,13.1,7.08,14.2,9.63,16.2,14.1
2026-04-12 21:11:45,AB_1,13.1,7.01,14.1,9.11,16.0,14.2
2026-04-12 21:11:46,AB_1,13.1,7.06,14.0,9.18,16.0,14.0
2026-04-12 21:11:46,AB_1,12.9,7.0,13.9,9.12,16.0,13.9
2026-04-12 21:11:46,AB_1,12.9,6.97,13.9,9.03,16.1,14.0
2026-04-12 21:11:47,AB_1,13.0,7.05,13.9,8.82,15.9,14.0
2026-04-12 21:11:47,AB_1,13.1,7.03,14.0,8.88,16.2,14.2
2026-04-12 21:11:48,AB_1,13.2,6.98,14.1,8.85,16.3,14.3
2026-04-12 21:11:48,AB_1,13.6,6.89,14.1,9.01,16.4,14.2
2026-04-12 21:11:48,AB_1,13.3,6.87,14.1,8.92,16.4,14.2
2026-04-12 21:11:49,AB_1,13.3,6.98,14.1,8.79,15.9,14.2
2026-04-12 21:11:49,AB_1,13.2,7.0,14.1,9.11,16.2,14.1
2026-04-12 21:11:49,AB_1,13.1,7.05,14.0,9.3,16.1,14.0
2026-04-12 21:11:50,AB_1,13.0,6.92,13.9,8.89,16.2,14.0
2026-04-12 21:11:50,AB_1,13.0,7.07,13.9,9.31,16.1,13.9
2026-04-12 21:11:50,AB_1,13.0,7.08,13.9,9.42,16.0,13.9
2026-04-12 21:11:51,AB_1,13.0,7.09,13.9,9.54,16.3,14.0
2026-04-12 21:11:51,AB_1,12.9,7.11,13.9,9.44,16.1,13.9
2026-04-12 21:11:51,AB_1,13.0,7.0,13.9,9.19,16.1,14.1
2026-04-12 21:11:52,AB_1,13.3,6.99,14.0,9.16,16.4,13.9
2026-04-12 21:11:52,AB_1,13.0,7.14,13.8,9.59,15.9,13.9
2026-04-12 21:11:53,AB_1,12.9,7.07,13.8,9.68,16.1,13.9
2026-04-12 21:11:53,AB_1,12.9,7.15,13.8,9.63,16.0,13.8
2026-04-12 21:11:53,AB_1,12.8,7.13,13.8,9.62,16.2,13.9
2026-04-12 21:11:54,AB_1,12.9,7.13,13.8,9.73,16.1,13.9
2026-04-12 21:11:54,AB_1,12.9,7.11,13.9,9.78,16.2,14.0
2026-04-12 21:11:54,AB_1,13.1,7.07,14.1,9.29,16.3,14.2
2026-04-12 21:11:55,AB_1,13.4,6.99,14.1,8.9,16.4,14.3
2026-04-12 21:11:55,AB_1,13.4,6.98,14.3,9.42,16.6,14.4
2026-04-12 21:11:55,AB_1,13.4,7.02,14.3,9.37,16.4,14.3
2026-04-12 21:11:56,AB_1,13.3,7.01,14.2,9.67,16.4,14.2
2026-04-12 21:11:56,AB_1,13.2,6.92,14.1,9.22,16.3,14.2
2026-04-12 21:11:56,AB_1,13.2,7.05,14.1,9.26,16.1,14.0
2026-04-12 21:11:57,AB_1,13.1,6.95,14.0,8.94,16.1,14.0
2026-04-12 21:11:57,AB_1,13.1,7.09,13.8,9.41,16.1,13.9
2026-04-12 21:11:58,AB_1,12.9,7.09,13.9,9.41,16.2,13.9
2026-04-12 21:11:58,AB_1,12.9,7.13,13.8,9.6,16.1,13.8
2026-04-12 21:11:58,AB_1,13.0,7.06,13.9,9.52,16.4,13.9
2026-04-12 21:11:59,AB_1,13.2,7.01,13.9,9.7,16.4,14.0
2026-04-12 21:11:59,AB_1,13.3,6.97,14.0,9.59,16.8,14.0
2026-04-12 21:11:59,AB_1,13.5,6.96,14.0,9.64,16.8,14.0
2026-04-12 21:12:00,AB_1,13.5,6.95,14.0,9.58,16.9,14.0
2026-04-12 21:12:00,AB_1,13.5,6.82,14.0,9.15,16.9,14.1
2026-04-12 21:12:00,AB_1,13.7,6.88,14.1,8.96,16.9,14.2
2026-04-12 21:12:01,AB_1,13.8,6.85,14.1,9.28,16.8,14.1
2026-04-12 21:12:01,AB_1,13.8,6.87,14.1,9.43,17.2,14.3
2026-04-12 21:12:01,AB_1,13.9,6.88,14.2,9.03,17.1,14.3
2026-04-12 21:12:02,AB_1,13.9,6.83,14.1,8.89,17.0,14.2
2026-04-12 21:12:02,AB_1,13.8,6.78,14.1,8.97,16.9,14.1
2026-04-12 21:12:02,AB_1,13.8,6.75,14.1,8.75,17.0,14.2
2026-04-12 21:12:03,AB_1,13.8,6.76,14.1,8.69,17.1,14.3
2026-04-12 21:12:03,AB_1,13.9,6.78,14.1,9.07,17.0,14.2
2026-04-12 21:12:04,AB_1,13.8,6.59,14.1,8.85,16.9,14.3
2026-04-12 21:12:04,AB_1,13.8,6.83,14.1,9.17,16.9,14.2
2026-04-12 21:12:04,AB_1,13.7,6.89,14.1,9.26,17.0,14.2
2026-04-12 21:12:05,AB_1,13.7,6.85,14.2,9.37,17.0,14.2
2026-04-12 21:12:05,AB_1,13.6,6.89,14.1,9.45,16.8,14.1
2026-04-12 21:12:05,AB_1,13.6,6.73,14.1,8.98,16.8,14.3
2026-04-12 21:12:06,AB_1,13.7,6.83,14.1,8.77,16.9,14.3
2026-04-12 21:12:06,AB_1,13.7,6.84,14.1,9.19,17.0,14.2
2026-04-12 21:12:06,AB_1,13.7,6.71,14.1,8.95,16.9,14.3
2026-04-12 21:12:07,AB_1,13.8,6.83,14.1,8.68,16.7,14.3
2026-04-12 21:12:07,AB_1,13.8,6.69,14.1,8.53,16.9,14.3
2026-04-12 21:12:07,AB_1,13.8,6.81,14.1,8.85,16.8,14.2
2026-04-12 21:12:08,AB_1,13.8,6.68,14.1,8.63,16.9,14.3
2026-04-12 21:12:08,AB_1,13.8,6.81,14.1,9.01,16.8,14.2
2026-04-12 21:12:09,AB_1,13.8,6.86,14.1,9.17,17.0,14.1
2026-04-12 21:12:09,AB_1,13.7,6.84,14.1,9.33,16.8,14.1
