Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
AB_1,0.387,0.73,0.654,0.569,0.629,0.652
AB_1,0.37,0.771,0.669,0.563,0.649,0.666
AB_1,0.385,0.772,0.681,0.571,0.654,0.68
AB_1,0.398,0.789,0.685,0.559,0.644,0.687
AB_1,0.378,0.783,0.693,0.546,0.65,0.686
AB_1,0.362,0.751,0.676,0.569,0.621,0.682
AB_1,0.337,0.734,0.679,0.543,0.609,0.679
AB_1,0.357,0.747,0.69,0.542,0.646,0.702
AB_1,0.41,0.743,0.675,0.561,0.646,0.685
AB_1,0.385,0.76,0.649,0.572,0.63,0.641
AB_2,0.463,0.793,0.622,0.527,0.699,0.604
AB_2,0.463,0.79,0.626,0.526,0.697,0.61
AB_2,0.437,0.809,0.65,0.559,0.692,0.644
AB_2,0.43,0.777,0.615,0.529,0.634,0.607
AB_2,0.44,0.773,0.626,0.531,0.641,0.616
AB_2,0.428,0.816,0.659,0.576,0.71,0.646
AB_2,0.46,0.814,0.618,0.525,0.655,0.6
AB_2,0.482,0.673,0.553,0.475,0.561,0.539
AB_2,0.453,0.687,0.567,0.487,0.563,0.558
AB_2,0.434,0.694,0.586,0.504,0.573,0.585
AB_3,0.329,0.85,0.727,0.528,0.77,0.713
AB_3,0.372,0.81,0.716,0.512,0.748,0.704
AB_3,0.343,0.845,0.715,0.543,0.773,0.716
AB_3,0.37,0.858,0.72,0.522,0.746,0.729
AB_3,0.382,0.896,0.726,0.535,0.725,0.737
AB_3,0.369,0.88,0.742,0.519,0.755,0.739
AB_3,0.36,0.873,0.753,0.501,0.753,0.739
AB_3,0.358,0.838,0.732,0.512,0.745,0.725
AB_3,0.332,0.808,0.706,0.532,0.721,0.699
AB_3,0.341,0.806,0.711,0.521,0.699,0.71
AB_4,0.405,0.908,0.704,0.548,0.784,0.693
AB_4,0.402,0.911,0.723,0.56,0.833,0.721
AB_4,0.406,0.934,0.728,0.535,0.822,0.727
AB_4,0.376,0.894,0.727,0.51,0.788,0.726
AB_4,0.364,0.895,0.728,0.507,0.788,0.726
AB_4,0.369,0.883,0.724,0.511,0.769,0.715
AB_4,0.357,0.863,0.707,0.516,0.728,0.697
AB_4,0.371,0.893,0.702,0.532,0.759,0.718
AB_4,0.415,0.875,0.658,0.572,0.719,0.662
AB_4,0.46,0.894,0.689,0.573,0.75,0.684
BC_1,0.538,0.963,0.701,0.589,0.879,0.682
BC_1,0.515,0.96,0.72,0.58,0.923,0.692
BC_1,0.519,0.99,0.703,0.581,0.862,0.685
BC_1,0.512,0.958,0.702,0.586,0.803,0.689
BC_1,0.516,0.958,0.7,0.598,0.808,0.68
BC_1,0.556,1.049,0.681,0.574,0.821,0.674
BC_1,0.576,1.005,0.671,0.565,0.823,0.655
BC_1,0.542,1.014,0.694,0.586,0.852,0.686
BC_1,0.518,1.009,0.709,0.58,0.836,0.693
BC_1,0.533,1.013,0.719,0.558,0.841,0.706
